	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105
AFP	136.43301	0.04	0.76	0.105	0.22	0.00041666668	89.01	0.085	0.034655172	0.385	4.711	6.224516	1.34	2.225	0.22	0.73888886	4601.954	0.78615385	6.7975	0.3094737	0.0	1.791	0.0	0.0	0.051875	0.425	0.0	0.1	0.112	0.555	5.835	0.14	0.1575	3.49	9.368	0.062	77.72	0.41166666	0.083333336	0.0	0.025	0.05	0.075	0.023333333	0.045	0.115	1.02	0.10180328	0.0075	0.02	0.0175	0.0	0.004	0.0	0.03	4.711	6.224516	0.13571429	0.011333333	0.0	0.78615385	551.0085	252.40643	0.1	5.399286	0.0	166.44112	0.0	0.0	0.0	0.045384616	0.0	18.795	30.76	0.0	0.14933333	0.11357143	0.025714286	1.65875	0.04	0.0	0.08	0.048333332	0.64125	0.0	0.12	139.10228	1.616	0.11730769	15.846176	0.0	0.0	0.0	0.555	0.0	27.016428	0.0075	0.0	0.0	0.03375	0.128	0.0	0.0033333334	0.0022222223	0.0
AHR	282.8297	5.86	8.8725	0.035	7.76	1.07375	17.09	118.19	4.222759	11.52125	3.217	2.256129	1.9725	2.585	10.533334	9.62	11.355938	16.842691	0.5325	4.001579	0.01	0.016636364	0.0	41.665	9.53875	39.4325	0.0016666667	8.666	17.198	23.285	0.0	21.31	0.018125	5.76	2.1913333	9.814	12.642353	4.385	15.248333	14.045	1.265	2.815	11.615	2.1983333	7.05375	43.24125	15.345	5.7934427	8.045	4.63	8.45125	11.7825	4.039	17.75125	6.85	3.217	2.256129	9.136429	13.138	11.447857	16.842691	17.41	32.82143	0.81	47.892143	9.04	8.879444	27.1075	50.4	44.52	48.798462	13.193334	16.5755	5.075	17.32	13.019333	3.6221428	114.04143	20.8175	10.4875	2.021	11.0175	7.108333	13.035	3.191111	2.0175	22.22409	7.026	14.221154	19.955	6.43125	30.99375	0.245	11.746	14.733334	18.655	12.62875	12.41375	2.06625	16.3	14.973	40.86	47.753334	10.073334	4.975
AIRE	192.25247	0.005	0.0	0.0	0.0925	0.00375	0.02	0.005	0.079827584	0.0	0.012	0.11193548	0.055	0.13	0.0033333334	0.05	0.0	0.018461538	0.0125	0.14578947	0.09	0.004818182	0.0	0.0	0.000625	0.0	0.0	0.0	0.0	0.005	0.025	0.0	0.01375	0.2	0.02	0.035	0.018529411	0.20666666	0.01	0.07	0.02	0.0	0.0	0.013333334	0.0375	0.01	0.02	0.62926227	0.0275	0.02	0.0	0.0	0.0	0.0	0.06	0.012	0.11193548	0.012857143	0.017333332	0.015714286	0.018461538	0.41	5.1792855	0.2	0.061428573	0.02	0.0044444446	0.045	0.0	0.0	0.023076924	0.033333335	2.384	0.06	0.0025	0.033333335	0.004285714	0.004285714	0.01625	0.01	0.047	0.005	0.03	0.00125	0.15888889	0.0	2.665	0.251	0.025384616	0.105	0.0	0.0325	0.0	0.085	0.0	11.827857	0.028125	0.0025	0.0	0.0575	0.002	0.0	0.013333334	0.017777778	0.01
ALX1	63.485615	4.825	0.0	0.0	0.01	0.00041666668	0.0	1.11	0.0031034483	0.02	0.37	0.4464516	2.465	1.205	0.023333333	38.1	0.0040625	0.00076923077	0.37	0.005263158	0.0	0.04590909	0.0	0.015	0.00125	0.85	0.0	0.07	0.0	0.0	4.9125	0.0	0.11	0.41	2.831	0.114	0.014411765	0.025	0.02	0.0	0.0	0.02	0.06	0.008333334	0.00375	0.01	0.0	0.02614754	0.0025	0.01	0.03	0.0025	0.01	0.0025	0.04	0.37	0.4464516	0.027857143	0.0	0.0064285714	0.00076923077	13.286923	0.12857144	0.0	0.05	0.0	0.0022222223	0.3075	0.0	0.03	0.055384614	0.01	0.2505	0.115	0.0	0.33533335	0.0028571428	0.005	0.0075	0.02	0.072	0.02	0.006666667	0.0	0.0022222223	0.025	0.03727273	0.131	0.00076923077	0.005882353	0.0075	0.32625	0.0	0.777	0.0	0.040714286	0.0125	0.0	0.0	0.02	0.02	0.0	0.145	0.22666667	0.08
ALX3	76.400276	0.38	0.0	0.0	4.045	0.014583333	0.0	0.0	0.0010344827	0.0	0.027	0.14935485	0.055	0.015	0.0	0.0055555557	0.0034375	2.5384614	0.0475	0.0	0.0	0.004181818	0.0	0.0	0.0	4.46	0.0	0.0	0.0	0.0	0.0	0.0	0.035625	0.04	0.195	0.031	0.008235294	11.701667	0.0	0.0	0.0	5.455	0.028333334	6.3616667	9.84625	13.79125	0.0	0.24295083	21.9075	0.035	0.0	0.005	0.0	0.00125	0.0	0.027	0.14935485	0.0	0.010666667	0.012142858	2.5384614	0.0	0.014285714	0.02	0.0	0.0	0.0011111111	0.03125	0.0	0.0	0.023076924	0.0	0.202	0.035	0.0	0.332	0.017857144	0.010714286	9.61875	0.065	0.025	0.0	0.01	0.00125	0.008333334	0.0	0.015	0.055	0.01	0.0038235295	0.0	0.09125	0.0025	0.089	0.0	0.12571429	0.003125	0.0	0.0	15.75625	0.007	0.0	0.065	0.018888889	0.0
ALX4	238.90987	62.435	0.0	0.04	1.4525	0.0	0.01	0.01	0.0006896552	0.0	0.001	0.0058064517	0.0	0.0	0.033333335	0.008333334	0.00125	0.026923077	0.015	0.0	0.2	0.27754545	0.0	0.005	0.035625	0.025	0.0	0.888	0.0	0.0	0.555	12.74	0.00875	0.0	0.26033333	0.058	0.005882353	0.23833333	0.006666667	0.0	0.0	0.075	0.096666664	0.305	0.18625	0.31375	0.0	0.083278686	0.2475	0.0	0.0275	0.0	0.02	0.02	0.15	0.001	0.0058064517	0.06285714	0.030666666	0.015714286	0.026923077	0.14692308	0.06928571	0.0	0.06	0.0	0.0022222223	0.22875	0.006666667	0.01	0.006153846	0.0	2.353	0.5075	0.0125	0.56	0.0092857145	0.0007142857	0.13	0.055	0.073	0.01	0.011666667	0.0	0.0	0.065	0.020454545	0.452	0.018461538	0.029411765	0.0025	0.12	0.025	0.646	0.0	0.1	0.01125	0.005	0.0	0.47	0.001	0.0	0.18333334	0.14333333	0.0
AR	528.1941	0.03	10.015	0.055	10.3475	10.2925	0.545	0.245	0.013103448	0.69375	5.529	4.4180646	2.4275	1.58	0.0033333334	0.0011111111	0.00125	5.201923	0.6025	1.0663158	0.0	0.0042727273	0.2375	0.0	4.97125	0.655	0.0	0.024	0.006	1.05	6.6575	5.125	0.0025	6.235	1.6523334	2.776	0.5297059	0.07833333	2.3733332	1.29	0.1725	0.3375	2.1366668	0.41	0.36625	0.51875	0.32	1.0230328	0.38	0.33	0.475	0.35625	2.58	0.91625	1.71	5.529	4.4180646	1.6942858	5.9766665	8.642858	5.201923	1.8184615	0.7557143	0.22	6.4685717	6.69	11.032222	2.54625	1.2433333	1.7	0.74615383	0.7033333	3.881	3.5775	1.5075	8.518	0.46	0.39285713	0.585	19.665	3.069	2.27	4.363333	14.7475	0.35722223	0.27	0.4140909	1.037	0.5730769	0.58588237	1.78875	2.45875	0.02	9.186	2.1466668	6.4407144	1.60625	0.68625	0.1	0.29875	0.401	1.82	3.1216667	5.6033335	1.425
ARHGEF12	1014.94385	58.555	51.5	23.4825	19.755	12.08625	38.91	21.875	17.287931	10.4575	9.933	9.45258	6.5075	12.33	25.863333	17.507778	21.960625	30.848078	2.5125	16.314737	8.54	19.46291	4.0	25.925	11.28625	10.88	10.855	50.394	12.18	29.765	15.8825	11.7525	13.13125	12.135	11.341666	13.744	21.94647	8.721666	18.403334	6.2	2.0775	21.78	7.596667	14.426666	10.00625	21.06	32.83	55.556805	12.35	11.5925	10.72875	15.0975	20.188	22.14625	40.0	9.933	9.45258	29.302143	33.821335	38.873573	30.848078	64.106155	43.39	4.44	64.45857	33.78	22.584444	41.09375	36.576668	41.08	26.033077	37.926666	44.831	12.7075	8.54875	21.869333	10.572143	33.712143	13.25	18.215	24.531	22.4575	27.278334	28.5125	6.226111	2.5025	32.557728	31.207	18.80077	17.393824	4.8	35.09	4.7475	21.609	14.043333	11.075714	30.18375	4.745	5.31875	8.75	13.149	45.74	21.521667	14.875556	4.33
ARID3A	300.97534	10.565	7.9525	16.045	11.4725	13.18375	99.535	0.51	18.36345	1.3525	22.296	32.595486	24.8725	46.085	10.9	9.015555	52.2725	15.241923	8.3975	21.373684	17.24	26.547	0.91	4.865	10.338125	1.215	6.0733333	20.584	1.888	4.3	14.4625	2.205	7.220625	37.51	48.068	3.488	2.0391176	27.393333	1.4083333	5.21	0.15	1.075	0.29333332	1.4133333	46.42375	39.02125	4.22	2.7287705	5.6175	1.9	0.67875	1.02125	1.96	0.9425	5.24	22.296	32.595486	1.5814285	2.344	2.182857	15.241923	18.276154	171.16429	0.69	16.260714	1.74	2.7894444	1.71125	8.73	5.71	5.88	4.903333	13.6165	3.6	0.97625	2.4053333	1.6807142	30.939285	32.90125	2.0725	2.418	0.6625	1.745	0.7825	0.8138889	0.3125	114.26955	3.13	5.939231	14.076765	0.5225	1.55875	0.045	8.931	0.56333333	13.125	0.703125	0.53125	0.29625	63.8675	2.155	5.56	2.6033332	1.1066667	0.42
ARID3B	258.3726	8.2	1.61	24.96	1.105	3.1404166	15.925	4.525	17.38276	1.06375	43.784	62.38355	18.7575	48.085	5.8166666	7.168889	6.508281	0.65384614	15.4125	7.975263	16.52	7.642182	3.7375	2.27	6.576875	0.22	1.3666667	7.452	3.986	4.35	6.93	0.345	7.48	99.205	63.929333	2.414	1.6694118	3.0366666	1.8816667	1.25	0.395	1.5325	0.31666666	1.3816667	8.05375	16.2475	3.575	1.612377	2.195	2.3925	0.6575	1.61375	1.409	1.0075	4.97	43.784	62.38355	0.95428574	0.916	0.9442857	0.65384614	8.646923	8.805	0.32	6.915	0.74	1.0738889	1.805	4.153333	3.75	3.3707693	4.3566666	4.0105	2.2	0.59375	4.0853333	1.4457142	6.485	12.59125	3.8025	2.511	0.6875	0.9483333	0.70125	1.3727778	0.075	6.284091	2.98	3.9842308	2.7761765	0.4575	2.0875	0.11	16.969	1.6933334	15.844286	0.998125	0.2175	0.72	21.01375	1.72	3.7	1.1533333	0.6211111	0.62
